BINARY;VERSION;CVE identifier;CVSS rating;exploit db exploit available;metasploit module;trickest PoC;Routersploit;Snyk PoC;Packetstormsecurity PoC;local exploit;remote exploit;DoS exploit;known exploited vuln;kernel vulnerability verified;FIRST EPSS;FIRST PERC;
openssl;1.0.0d;CVE-2015-0205;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;2;89;
openssl;1.0.0d;CVE-2015-0206;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;91;98;
openssl;0.9.8b;CVE-2013-0169;2.6 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;77;
openssl;0.9.8b;CVE-2014-0076;1.9 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;17;
openssl;1.0.0d;CVE-2015-0209;6.8 (v2);6;0;0;0/0;0;0;0;0;0;0;no;9;94;
openssl;1.0.0d;CVE-2015-0287;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;2;90;
openssl;1.0.0d;CVE-2015-0286;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;94;99;
openssl;0.9.8b;CVE-2013-6449;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;92;98;
openssl;1.0.0d;CVE-2015-0288;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;1;88;
openssl;0.9.8b;CVE-2014-0195;6.8 (v2);6;1;0;0/0;0;0;0;0;0;0;no;96;99;
openssl;0.9.8b;CVE-2014-0221;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;96;99;
openssl;1.0.0d;CVE-2015-0289;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;1;88;
openssl;1.0.0d;CVE-2015-0292;7.5 (v2);6;0;0;0/0;0;0;0;0;0;0;no;22;96;
openssl;0.9.8b;CVE-2014-0224;7.4;6;1;0;0/0;1;0;0;0;0;0;no;97;99;
openssl;0.9.8b;CVE-2014-3470;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;96;99;
openssl;0.9.8b;CVE-2014-3505;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;88;98;
openssl;1.0.0d;CVE-2015-0293;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;47;97;
openssl;1.0.0d;CVE-2015-1788;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;56;97;
openssl;0.9.8b;CVE-2014-3506;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;88;98;
openssl;1.0.0d;CVE-2015-1789;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;33;97;
openssl;0.9.8b;CVE-2012-2110;7.5 (v2);12;0;0;0/0;0;0;0;0;0;0;no;9;94;
openssl;0.9.8b;CVE-2014-3507;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;92;99;
openssl;0.9.8b;CVE-2014-3508;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;46;97;
openssl;1.0.0d;CVE-2015-1791;6.8 (v2);6;0;0;0/0;0;0;0;0;0;0;no;39;97;
openssl;1.0.0d;CVE-2015-1790;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;43;97;
openssl;0.9.8b;CVE-2014-3510;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;1;87;
openssl;1.0.0d;CVE-2015-1792;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;60;97;
openssl;1.0.0d;CVE-2015-3196;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;1;86;
openssl;1.0.0d;CVE-2016-0703;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;83;
openssl;0.9.8b;CVE-2014-3567;7.1 (v2);6;0;0;0/0;0;0;0;0;0;0;no;92;99;
openssl;0.9.8b;CVE-2014-3566;3.4;6;1;0;0/0;2;0;0;0;0;0;no;97;99;
openssl;1.0.0d;CVE-2015-3195;5.3;6;0;0;0/0;0;0;0;0;0;0;no;2;89;
openssl;0.9.8b;CVE-2014-3568;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;77;
openssl;0.9.8b;CVE-2014-3571;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;68;98;
openssl;1.0.0d;CVE-2016-0704;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;1;87;
openssl;0.9.8b;CVE-2014-3570;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;12;95;
openssl;0.9.8b;CVE-2014-3572;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;78;
openssl;1.0.0d;CVE-2016-2106;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;32;97;
openssl;0.9.8b;CVE-2014-8176;7.5 (v2);6;0;0;0/0;0;0;0;0;0;0;no;4;92;
openssl;1.0.0d;CVE-2015-4000;4.3 (v2);6;1;0;0/0;0;0;0;0;0;0;no;97;99;
openssl;1.0.0d;CVE-2016-2108;10.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;89;98;
openssl;0.9.8b;CVE-2014-8275;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;11;95;
openssl;1.0.0d;CVE-2016-2109;7.8 (v2);6;0;0;0/0;0;0;0;0;0;0;no;82;98;
openssl;0.9.8b;CVE-2015-0209;6.8 (v2);6;0;0;0/0;0;0;0;0;0;0;no;9;94;
openssl;0.9.8b;CVE-2015-0204;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;94;99;
openssl;1.0.0d;CVE-2016-2176;6.4 (v2);6;0;0;0/0;0;0;0;0;0;0;no;65;97;
openssl;1.0.0d;CVE-2016-7798;7.5;6;0;0;0/0;0;0;0;0;0;0;no;0;73;
openssl;1.0.0d;CVE-2016-7056;2.1 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;10;
openssl;0.9.8b;CVE-2015-0286;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;94;99;
openssl;0.9.8b;CVE-2015-0287;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;2;90;
openssl;0.9.8b;CVE-2015-0288;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;1;88;
openssl;1.0.0d;CVE-2017-3735;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;2;90;
openssl;0.9.8b;CVE-2015-0289;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;1;88;
openssl;1.0.0d;CVE-2018-16395;7.5 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;82;
openssl;1.0.0d;CVE-2021-4044;7.5;6;0;0;0/0;0;0;0;0;0;0;no;0;57;
openssl;0.9.8b;CVE-2015-0292;7.5 (v2);6;0;0;0/0;0;0;0;0;0;0;no;22;96;
openssl;0.9.8b;CVE-2015-1788;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;56;97;
openssl;0.9.8b;CVE-2015-0293;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;47;97;
openssl;0.9.8b;CVE-2015-1789;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;33;97;
openssl;0.9.8b;CVE-2015-1790;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;43;97;
openssl;0.9.8b;CVE-2015-1791;6.8 (v2);6;0;0;0/0;0;0;0;0;0;0;no;39;97;
openssl;0.9.8b;CVE-2015-1792;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;60;97;
openssl;1.0.0d;CVE-2016-2107;5.9;12;0;0;0/0;0;0;0;0;0;0;no;96;99;
openssl;0.9.8b;CVE-2015-3195;5.3;6;0;0;0/0;0;0;0;0;0;0;no;2;89;
openssl;0.9.8b;CVE-2016-0703;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;83;
openssl;0.9.8b;CVE-2016-2106;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;32;97;
